#	File	generated	by	CMD	3	(http://stev.oapd.inaf.it/cmd)	on	Tue	May	15	12:00:15	CEST	2018																	
#	isochrones	PARSEC	release	v1.2S	+	COLIBRI	release	"PR16,"	as	in	Marigo	et	al.	2017																
#	Basic	reference:	Marigo	et	al.	"(2017),"	"ApJ,"	"835,"	77																					
#	Photometric	system:	<i>UBVRIJHK</i>	(cf.	Maiz-Apellaniz	2006	+	Bessell	1990)																					
#	O-rich	circumstellar	dust	ignored																										
#	C-rich	circumstellar	dust	ignored																										
#	Kind	of	output:	isochrone	tables																									
#Zini	Age	Mini	Mass	logL	logTe	logg	label	McoreTP	C_O	period0	period1	pmode	Mloss	tau1m	X	Y	Xc	Xn	Xo	Cexcess	Z	mbolmag	Umag	Bmag	Vmag	Rmag	Imag	Jmag	Hmag	Kmag
0.01148	3.98E+07	0.090000004	0.09	-2.449	3.4167	4.461	0	0	0.545	0	0	-1	8.87E-16	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	10.893	18.256	16.497	14.725	13.051	10.923	8.831	8.339	7.983
0.01148	3.98E+07	0.09487427	0.095	-2.414	3.4209	4.464	0	0	0.545	0	0	-1	9.34E-16	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	10.804	18.024	16.299	14.543	12.895	10.799	8.75	8.258	7.906
0.01148	3.98E+07	0.100000002	0.1	-2.376	3.4253	4.467	0	0	0.545	0	0	-1	9.87E-16	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	10.711	17.78	16.09	14.351	12.733	10.669	8.667	8.175	7.827
0.01148	3.98E+07	0.101835124	0.102	-2.365	3.4266	4.469	0	0	0.545	0	0	-1	1.00E-15	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	10.681	17.702	16.023	14.289	12.681	10.628	8.64	8.148	7.801
0.01148	3.98E+07	0.115799345	0.116	-2.276	3.4367	4.477	0	0	0.545	0	0	-1	1.14E-15	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	10.461	17.56	15.668	13.87	12.293	10.3	8.444	7.933	7.611
0.01148	3.98E+07	0.120000005	0.12	-2.252	3.4396	4.479	0	0	0.545	0	0	-1	1.19E-15	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	10.399	17.581	15.586	13.756	12.182	10.204	8.389	7.872	7.558
0.01148	3.98E+07	0.128374398	0.128	-2.207	3.4447	4.484	0	0	0.545	0	0	-1	1.26E-15	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	10.287	17.578	15.427	13.547	11.984	10.035	8.29	7.76	7.462
0.01148	3.98E+07	0.140000001	0.14	-2.148	3.4513	4.489	0	0	0.545	0	0	-1	1.38E-15	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	10.14	17.271	15.131	13.257	11.737	9.842	8.161	7.625	7.332
0.01148	3.98E+07	0.159999996	0.16	-2.059	3.4609	4.497	0	0	0.545	0	0	-1	1.57E-15	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	9.919	16.775	14.683	12.828	11.375	9.562	7.966	7.424	7.138
0.01148	3.98E+07	0.200000003	0.2	-1.913	3.476	4.508	0	0	0.545	0	0	-1	1.93E-15	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	9.553	15.847	13.938	12.15	10.805	9.13	7.643	7.097	6.816
0.01148	3.98E+07	0.226145551	0.226	-1.835	3.4839	4.515	0	0	0.545	0	0	-1	2.16E-15	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	9.358	15.38	13.556	11.803	10.508	8.903	7.468	6.92	6.643
0.01148	3.98E+07	0.27960977	0.28	-1.7	3.497	4.525	0	0	0.545	0	0	-1	2.62E-15	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	9.02	14.631	12.929	11.232	10.011	8.518	7.164	6.613	6.343
0.01148	3.98E+07	0.296688289	0.297	-1.663	3.5007	4.528	0	0	0.545	0	0	-1	2.76E-15	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	8.929	14.432	12.761	11.079	9.877	8.415	7.081	6.53	6.262
0.01148	3.98E+07	0.310431153	0.31	-1.633	3.5035	4.529	0	0	0.545	0	0	-1	2.89E-15	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	8.852	14.281	12.63	10.959	9.77	8.33	7.012	6.459	6.194
0.01148	3.98E+07	0.34892413	0.349	-1.557	3.5107	4.533	0	0	0.545	0	0	-1	3.24E-15	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	8.662	13.896	12.299	10.656	9.501	8.118	6.838	6.284	6.023
0.01148	3.98E+07	0.350000024	0.35	-1.555	3.5109	4.533	0	0	0.545	0	0	-1	3.25E-15	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	8.657	13.886	12.29	10.648	9.494	8.113	6.834	6.279	6.019
0.01148	3.98E+07	0.378532678	0.379	-1.502	3.5161	4.535	0	0	0.545	0	0	-1	3.51E-15	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	8.526	13.623	12.061	10.439	9.308	7.967	6.715	6.158	5.902
0.01148	3.98E+07	0.400000036	0.4	-1.465	3.5198	4.536	0	0	0.545	0	0	-1	3.72E-15	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	8.433	13.446	11.905	10.296	9.179	7.864	6.63	6.072	5.818
0.01148	3.98E+07	0.449999988	0.45	-1.379	3.5284	4.536	0	0	0.545	0	0	-1	4.28E-15	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	8.218	13.03	11.536	9.959	8.877	7.625	6.434	5.872	5.624
0.01148	3.98E+07	0.477311373	0.477	-1.332	3.5337	4.536	0	0	0.545	0	0	-1	4.62E-15	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	8.101	12.803	11.335	9.775	8.71	7.498	6.33	5.766	5.52
0.01148	3.98E+07	0.5	0.5	-1.295	3.5375	4.535	0	0	0.545	0	0	-1	4.93E-15	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	8.009	12.63	11.18	9.633	8.581	7.397	6.248	5.681	5.437
0.01148	3.98E+07	0.510377765	0.51	-1.279	3.5396	4.535	0	0	0.545	0	0	-1	5.06E-15	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	7.967	12.545	11.105	9.564	8.519	7.352	6.212	5.644	5.401
0.01148	3.98E+07	0.544527233	0.544	-1.215	3.547	4.529	0	0	0.545	0	0	-1	5.72E-15	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	7.807	12.25	10.836	9.317	8.294	7.177	6.07	5.497	5.259
0.01148	3.98E+07	0.550000012	0.55	-1.204	3.5482	4.527	0	0	0.545	0	0	-1	5.84E-15	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	7.781	12.203	10.792	9.277	8.257	7.149	6.047	5.472	5.235
0.01148	3.98E+07	0.570257366	0.57	-1.165	3.5537	4.525	0	0	0.545	0	0	-1	6.30E-15	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	7.681	12.011	10.615	9.115	8.112	7.039	5.96	5.382	5.149
0.01148	3.98E+07	0.600000024	0.6	-1.1	3.5628	4.519	0	0	0.545	0	0	-1	7.15E-15	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	7.52	11.718	10.34	8.863	7.882	6.867	5.823	5.238	5.012
0.01148	3.98E+07	0.610499263	0.61	-1.078	3.5665	4.52	0	0	0.545	0	0	-1	7.44E-15	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	7.466	11.612	10.24	8.772	7.8	6.808	5.779	5.19	4.967
0.01148	3.98E+07	0.634658516	0.635	-1.013	3.5771	4.514	0	0	0.545	0	0	-1	8.50E-15	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	7.303	11.296	10.001	8.582	7.618	6.634	5.609	5.025	4.817
0.01148	3.98E+07	0.649999976	0.65	-0.97	3.5845	4.511	0	0	0.545	0	0	-1	9.30E-15	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	7.194	11.064	9.845	8.469	7.508	6.52	5.488	4.907	4.713
0.01148	3.98E+07	0.654315829	0.654	-0.957	3.5869	4.511	0	0	0.545	0	0	-1	9.54E-15	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	7.163	10.934	9.742	8.384	7.441	6.49	5.473	4.872	4.69
0.01148	3.98E+07	0.674137116	0.674	-0.893	3.5995	4.51	0	0	0.545	0	0	-1	1.09E-14	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	7.002	10.304	9.233	7.965	7.108	6.339	5.393	4.701	4.576
0.01148	3.98E+07	0.69251734	0.693	-0.826	3.6133	4.51	0	0	0.545	0	0	-1	1.25E-14	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	6.835	9.966	8.916	7.684	6.871	6.176	5.271	4.565	4.452
0.01148	3.98E+07	0.700000048	0.7	-0.798	3.6193	4.51	0	0	0.545	0	0	-1	1.33E-14	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	6.765	9.813	8.778	7.564	6.771	6.107	5.219	4.51	4.402
0.01148	3.98E+07	0.709426105	0.71	-0.756	3.6316	4.523	0	0	0.544	0	0	-1	1.43E-14	0	7.19E-01	2.70E-01	2.09E-03	5.65E-04	5.12E-03	-1	1.16E-02	6.659	9.518	8.53	7.359	6.608	5.998	5.149	4.449	4.351
0.01148	3.98E+07	0.723420024	0.724	-0.691	3.6498	4.54	0	0	0.541	0	0	-1	1.61E-14	0	7.19E-01	2.70E-01	2.08E-03	5.64E-04	5.12E-03	-1	1.16E-02	6.498	9.041	8.155	7.059	6.371	5.824	5.036	4.376	4.291
0.01148	3.98E+07	0.734995663	0.735	-0.638	3.6642	4.551	0	0	0.54	0	0	-1	1.78E-14	0	7.19E-01	2.70E-01	2.07E-03	5.64E-04	5.12E-03	-1	1.16E-02	6.366	8.656	7.866	6.827	6.189	5.679	4.943	4.327	4.25
0.01148	3.98E+07	0.74560523	0.746	-0.59	3.6768	4.56	0	0	0.538	0	0	-1	1.96E-14	0	7.19E-01	2.70E-01	2.07E-03	5.64E-04	5.12E-03	-1	1.16E-02	6.245	8.316	7.617	6.626	6.032	5.55	4.86	4.285	4.215
