#File generated by CMD 3 (http://stev.oapd.inaf.it/cmd) on Sun May 13 18:29:23 CEST 2018																	
#isochrones PARSEC release v1.2S + COLIBRI release "PR16," as in Marigo et al. 2017																
#Basic reference: Marigo et al. "(2017)," "ApJ," "835," 77																					
#Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)																					
#O-rich circumstellar dust ignored																										
#C-rich circumstellar dust ignored																										
#Kind of output: isochrone tables																									
#Zini	Age	Mini	Mass	logL	logTe	logg	label	McoreTP	C_O	period0	period1	pmode	Mloss	tau1m	X	Y	Xc	Xn	Xo	Cexcess	Z	mbolmag	Umag	Bmag	Vmag	Rmag	Imag	Jmag	Hmag	Kmag
0.01328	1.12E+08	0.090000004	0.09	-2.784	3.4067	4.755	0	0	0.545	0	0	-1	2.92E-16	0	7.15E-01	2.72E-01	2.40E-03	6.49E-04	5.88E-03	-1	1.34E-02	11.73	20.059	17.799	15.861	14.063	11.832	9.64	9.132	8.789
0.01328	1.12E+08	0.097046785	0.097	-2.725	3.415	4.762	0	0	0.545	0	0	-1	3.20E-16	0	7.15E-01	2.72E-01	2.40E-03	6.49E-04	5.88E-03	-1	1.34E-02	11.582	19.541	17.405	15.511	13.777	11.607	9.508	9.003	8.665
0.01328	1.12E+08	0.100000002	0.1	-2.701	3.4186	4.765	0	0	0.545	0	0	-1	3.32E-16	0	7.15E-01	2.72E-01	2.40E-03	6.49E-04	5.88E-03	-1	1.34E-02	11.522	19.333	17.242	15.365	13.658	11.516	9.456	8.951	8.616
0.01328	1.12E+08	0.101355784	0.101	-2.692	3.4199	4.767	0	0	0.545	0	0	-1	3.36E-16	0	7.15E-01	2.72E-01	2.40E-03	6.49E-04	5.88E-03	-1	1.34E-02	11.499	19.261	17.184	15.312	13.615	11.482	9.435	8.93	8.596
0.01328	1.12E+08	0.111742064	0.112	-2.619	3.4293	4.774	0	0	0.545	0	0	-1	3.75E-16	0	7.15E-01	2.72E-01	2.40E-03	6.49E-04	5.88E-03	-1	1.34E-02	11.318	18.703	16.738	14.91	13.282	11.222	9.276	8.77	8.442
0.01328	1.12E+08	0.120000005	0.12	-2.564	3.437	4.781	0	0	0.545	0	0	-1	4.07E-16	0	7.15E-01	2.72E-01	2.40E-03	6.49E-04	5.88E-03	-1	1.34E-02	11.181	18.511	16.461	14.609	13.015	11.009	9.159	8.643	8.329
0.01328	1.12E+08	0.121561244	0.122	-2.556	3.438	4.782	0	0	0.545	0	0	-1	4.12E-16	0	7.15E-01	2.72E-01	2.40E-03	6.49E-04	5.88E-03	-1	1.34E-02	11.159	18.485	16.422	14.566	12.977	10.977	9.14	8.622	8.31
0.01328	1.12E+08	0.140000001	0.14	-2.457	3.4493	4.79	0	0	0.545	0	0	-1	4.79E-16	0	7.15E-01	2.72E-01	2.40E-03	6.49E-04	5.88E-03	-1	1.34E-02	10.912	18.043	15.938	14.074	12.547	10.634	8.923	8.393	8.096
0.01328	1.12E+08	0.154198423	0.154	-2.389	3.4574	4.797	0	0	0.545	0	0	-1	5.29E-16	0	7.15E-01	2.72E-01	2.40E-03	6.49E-04	5.88E-03	-1	1.34E-02	10.743	17.619	15.568	13.726	12.256	10.412	8.777	8.242	7.951
0.01328	1.12E+08	0.159999996	0.16	-2.363	3.4606	4.799	0	0	0.545	0	0	-1	5.50E-16	0	7.15E-01	2.72E-01	2.40E-03	6.49E-04	5.88E-03	-1	1.34E-02	10.677	17.441	15.424	13.594	12.146	10.33	8.719	8.183	7.893
