#	File	generated	by	CMD	3	(http://stev.oapd.inaf.it/cmd)	on	Tue	May	15	12:34:16	CEST	2018																	
#	isochrones	PARSEC	release	v1.2S	+	COLIBRI	release	"PR16,"	as	in	Marigo	et	al.	2017																
#	Basic	reference:	Marigo	et	al.	"(2017),"	"ApJ,"	"835,"	77																					
#	Photometric	system:	<i>UBVRIJHK</i>	(cf.	Maiz-Apellaniz	2006	+	Bessell	1990)																					
#	O-rich	circumstellar	dust	ignored																										
#	C-rich	circumstellar	dust	ignored																										
#	Kind	of	output:	isochrone	tables																									
#Zini	Age	Mini	Mass	logL	logTe	logg	label	McoreTP	C_O	period0	period1	pmode	Mloss	tau1m	X	Y	Xc	Xn	Xo	Cexcess	Z	mbolmag	Umag	Bmag	Vmag	Rmag	Imag	Jmag	Hmag	Kmag
0.02332	8.32E+08	0.093788788	0.094	-3.323	3.3634	5.138	0	0	0.545	0	0	-1	5.32E-17	0	6.85E-01	2.91E-01	4.28E-03	1.15E-03	1.05E-02	-1	2.38E-02	13.076	24.61	20.786	18.368	16.107	13.626	10.97	10.378	10.032
0.02332	8.32E+08	0.103731379	0.103	-3.193	3.381	5.121	0	0	0.545	0	0	-1	6.96E-17	0	6.85E-01	2.91E-01	4.28E-03	1.15E-03	1.05E-02	-1	2.38E-02	12.752	23.231	19.864	17.621	15.512	13.101	10.637	10.077	9.752
0.02332	8.32E+08	0.117562056	0.117	-3.051	3.3996	5.109	0	0	0.545	0	0	-1	9.18E-17	0	6.85E-01	2.91E-01	4.28E-03	1.15E-03	1.05E-02	-1	2.38E-02	12.398	21.845	18.915	16.795	14.857	12.547	10.294	9.759	9.44
0.02332	8.32E+08	0.123182774	0.123	-2.995	3.4069	5.103	0	0	0.545	0	0	-1	1.02E-16	0	6.85E-01	2.91E-01	4.28E-03	1.15E-03	1.05E-02	-1	2.38E-02	12.258	21.309	18.542	16.469	14.597	12.337	10.165	9.636	9.319
0.02332	8.32E+08	0.123616569	0.123	-2.991	3.4074	5.102	0	0	0.545	0	0	-1	1.03E-16	0	6.85E-01	2.91E-01	4.28E-03	1.15E-03	1.05E-02	-1	2.38E-02	12.247	21.266	18.513	16.443	14.577	12.321	10.154	9.625	9.309
0.02332	8.32E+08	0.143501759	0.143	-2.819	3.4269	5.073	0	0	0.545	0	0	-1	1.48E-16	0	6.85E-01	2.91E-01	4.28E-03	1.15E-03	1.05E-02	-1	2.38E-02	11.817	19.807	17.466	15.52	13.827	11.722	9.764	9.243	8.932
0.02332	8.32E+08	0.152402297	0.152	-2.756	3.4333	5.061	0	0	0.545	0	0	-1	1.67E-16	0	6.85E-01	2.91E-01	4.28E-03	1.15E-03	1.05E-02	-1	2.38E-02	11.659	19.338	17.112	15.204	13.565	11.514	9.621	9.102	8.792
0.02332	8.32E+08	0.156885728	0.157	-2.726	3.4364	5.056	0	0	0.545	0	0	-1	1.77E-16	0	6.85E-01	2.91E-01	4.28E-03	1.15E-03	1.05E-02	-1	2.38E-02	11.585	19.12	16.945	15.053	13.441	11.416	9.554	9.034	8.726
0.02332	8.32E+08	0.181315601	0.181	-2.582	3.45	5.03	0	0	0.545	0	0	-1	2.37E-16	0	6.85E-01	2.91E-01	4.28E-03	1.15E-03	1.05E-02	-1	2.38E-02	11.225	18.163	16.194	14.376	12.87	10.962	9.228	8.708	8.405
0.02332	8.32E+08	0.196191549	0.196	-2.505	3.457	5.015	0	0	0.545	0	0	-1	2.77E-16	0	6.85E-01	2.91E-01	4.28E-03	1.15E-03	1.05E-02	-1	2.38E-02	11.033	17.688	15.813	14.031	12.576	10.728	9.055	8.534	8.234
