#	File	generated	by	CMD	3	(http://stev.oapd.inaf.it/cmd)	on	Sat	May	12	9:01:47	CEST	2018																	
#	isochrones	PARSEC	release	v1.2S	+	COLIBRI	release	"PR16,"	as	in	Marigo	et	al.	2017																
#	Basic	reference:	Marigo	et	al.	"(2017),"	"ApJ,"	"835,"	77																					
#	Photometric	system:	<i>UBVRIJHK</i>	(cf.	Maiz-Apellaniz	2006	+	Bessell	1990)																					
#	O-rich	circumstellar	dust	ignored																										
#	C-rich	circumstellar	dust	ignored																										
#	Kind	of	output:	isochrone	tables																									
#Zini	Age	Mini	Mass	logL	logTe	logg	label	McoreTP	C_O	period0	period1	pmode	Mloss	tau1m	X	Y	Xc	Xn	Xo	Cexcess	Z	mbolmag	Umag	Bmag	Vmag	Rmag	Imag	Jmag	Hmag	Kmag
0.01853	1.35E+09	0.090000004	0.09	-3.415	3.358	5.191	0	0	0.545	0	0	-1	4.13E-17	0	7.00E-01	2.82E-01	3.34E-03	9.02E-04	8.18E-03	-1	1.86E-02	13.307	25.26	21.231	18.743	16.423	13.923	11.208	10.599	10.252
0.01853	1.35E+09	0.097104855	0.097	-3.301	3.3743	5.175	0	0	0.545	0	0	-1	5.25E-17	0	7.00E-01	2.82E-01	3.34E-03	9.02E-04	8.18E-03	-1	1.86E-02	13.022	23.991	20.381	18.068	15.888	13.443	10.908	10.332	10.009
0.01853	1.35E+09	0.100000002	0.1	-3.255	3.3808	5.168	0	0	0.545	0	0	-1	5.79E-17	0	7.00E-01	2.82E-01	3.34E-03	9.02E-04	8.18E-03	-1	1.86E-02	12.907	23.498	20.052	17.791	15.67	13.255	10.792	10.228	9.908
0.01853	1.35E+09	0.101702571	0.102	-3.233	3.3837	5.165	0	0	0.545	0	0	-1	6.05E-17	0	7.00E-01	2.82E-01	3.34E-03	9.02E-04	8.18E-03	-1	1.86E-02	12.853	23.28	19.904	17.667	15.57	13.169	10.738	10.179	9.861
0.01853	1.35E+09	0.109437868	0.109	-3.132	3.3966	5.147	0	0	0.545	0	0	-1	7.51E-17	0	7.00E-01	2.82E-01	3.34E-03	9.02E-04	8.18E-03	-1	1.86E-02	12.599	22.298	19.237	17.087	15.11	12.78	10.493	9.952	9.636
0.01853	1.35E+09	0.117974497	0.118	-3.028	3.4098	5.129	0	0	0.545	0	0	-1	9.35E-17	0	7.00E-01	2.82E-01	3.34E-03	9.02E-04	8.18E-03	-1	1.86E-02	12.341	21.301	18.552	16.488	14.634	12.392	10.253	9.723	9.41
0.01853	1.35E+09	0.120000005	0.12	-3.005	3.4128	5.125	0	0	0.545	0	0	-1	9.84E-17	0	7.00E-01	2.82E-01	3.34E-03	9.02E-04	8.18E-03	-1	1.86E-02	12.282	21.072	18.394	16.351	14.525	12.305	10.198	9.67	9.359
0.01853	1.35E+09	0.140000001	0.14	-2.818	3.4344	5.092	0	0	0.545	0	0	-1	1.45E-16	0	6.99E-01	2.82E-01	3.34E-03	9.02E-04	8.18E-03	-1	1.86E-02	11.816	19.512	17.257	15.343	13.706	11.66	9.78	9.258	8.952
0.01853	1.35E+09	0.151750311	0.152	-2.732	3.443	5.075	0	0	0.545	0	0	-1	1.74E-16	0	6.99E-01	2.82E-01	3.34E-03	9.02E-04	8.18E-03	-1	1.86E-02	11.6	18.904	16.786	14.918	13.352	11.379	9.585	9.062	8.76
0.01853	1.35E+09	0.159999996	0.16	-2.675	3.4486	5.064	0	0	0.545	0	0	-1	1.95E-16	0	6.99E-01	2.82E-01	3.34E-03	9.02E-04	8.18E-03	-1	1.86E-02	11.459	18.525	16.488	14.649	13.126	11.201	9.458	8.935	8.635
