#	File	generated	by	CMD	3	(http://stev.oapd.inaf.it/cmd)	on	Sun	May	20	16:24:41	CEST	2018																	
#	isochrones	PARSEC	release	v1.2S	+	COLIBRI	release	"PR16,"	as	in	Marigo	et	al.	2017																
#	Basic	reference:	Marigo	et	al.	"(2017),"	"ApJ,"	"835,"	77																					
#	Photometric	system:	<i>UBVRIJHK</i>	(cf.	Maiz-Apellaniz	2006	+	Bessell	1990)																					
#	O-rich	circumstellar	dust	ignored																										
#	C-rich	circumstellar	dust	ignored																										
#	Kind	of	output:	isochrone	tables																									
#Zini	Age	Mini	Mass	logL	logTe	logg	label	McoreTP	C_O	period0	period1	pmode	Mloss	tau1m	X	Y	Xc	Xn	Xo	Cexcess	Z	mbolmag	Umag	Bmag	Vmag	Rmag	Imag	Jmag	Hmag	Kmag
0.00955	1.91E+07	0.090000004	0.09	-2.215	3.4216	4.246	0	0	0.545	0	0	-1	1.95E-15	0	7.24E-01	2.66E-01	1.72E-03	4.65E-04	4.22E-03	-1	9.58E-03	10.308	17.199	15.665	13.973	12.354	10.302	8.265	7.775	7.411
0.00955	1.91E+07	0.091482416	0.092	-2.205	3.4227	4.248	0	0	0.545	0	0	-1	1.97E-15	0	7.24E-01	2.66E-01	1.72E-03	4.65E-04	4.22E-03	-1	9.58E-03	10.283	17.142	15.613	13.925	12.312	10.269	8.243	7.753	7.39
0.00955	1.91E+07	0.100000002	0.1	-2.147	3.4289	4.253	0	0	0.545	0	0	-1	2.14E-15	0	7.24E-01	2.66E-01	1.72E-03	4.65E-04	4.22E-03	-1	9.58E-03	10.138	16.809	15.316	13.646	12.071	10.074	8.113	7.622	7.265
0.00955	1.91E+07	0.10575445	0.106	-2.112	3.4329	4.258	0	0	0.545	0	0	-1	2.25E-15	0	7.24E-01	2.66E-01	1.72E-03	4.65E-04	4.22E-03	-1	9.58E-03	10.05	16.846	15.206	13.489	11.919	9.938	8.033	7.533	7.19
0.00955	1.91E+07	0.120000005	0.12	-2.029	3.4422	4.266	0	0	0.545	0	0	-1	2.53E-15	0	7.24E-01	2.66E-01	1.72E-03	4.65E-04	4.22E-03	-1	9.58E-03	9.842	17.128	15.011	13.141	11.565	9.61	7.846	7.316	7.012
0.00955	1.91E+07	0.140000001	0.14	-1.931	3.4532	4.28	0	0	0.545	0	0	-1	2.89E-15	0	7.24E-01	2.66E-01	1.72E-03	4.65E-04	4.22E-03	-1	9.58E-03	9.597	16.796	14.571	12.669	11.153	9.275	7.629	7.084	6.798
0.00955	1.91E+07	0.173308939	0.173	-1.794	3.4674	4.293	0	0	0.545	0	0	-1	3.50E-15	0	7.24E-01	2.66E-01	1.72E-03	4.65E-04	4.22E-03	-1	9.58E-03	9.256	15.981	13.879	12.02	10.609	8.859	7.327	6.775	6.496
0.00955	1.91E+07	0.190785229	0.191	-1.733	3.4737	4.298	0	0	0.545	0	0	-1	3.82E-15	0	7.24E-01	2.66E-01	1.72E-03	4.65E-04	4.22E-03	-1	9.58E-03	9.102	15.581	13.563	11.733	10.37	8.679	7.192	6.637	6.359
0.00955	1.91E+07	0.209003016	0.209	-1.676	3.4796	4.304	0	0	0.545	0	0	-1	4.11E-15	0	7.24E-01	2.66E-01	1.72E-03	4.65E-04	4.22E-03	-1	9.58E-03	8.959	15.224	13.276	11.473	10.148	8.513	7.064	6.508	6.233
0.00955	1.91E+07	0.227240831	0.227	-1.622	3.485	4.309	0	0	0.545	0	0	-1	4.47E-15	0	7.24E-01	2.66E-01	1.72E-03	4.65E-04	4.22E-03	-1	9.58E-03	8.825	14.893	13.009	11.231	9.942	8.358	6.945	6.388	6.114
0.00955	1.91E+07	0.247166991	0.247	-1.569	3.4907	4.315	0	0	0.545	0	0	-1	4.81E-15	0	7.24E-01	2.66E-01	1.72E-03	4.65E-04	4.22E-03	-1	9.58E-03	8.692	14.576	12.749	10.996	9.74	8.205	6.826	6.268	5.997
0.00955	1.91E+07	0.271610349	0.272	-1.509	3.4964	4.319	0	0	0.545	0	0	-1	5.24E-15	0	7.24E-01	2.66E-01	1.72E-03	4.65E-04	4.22E-03	-1	9.58E-03	8.543	14.244	12.474	10.745	9.521	8.038	6.692	6.133	5.865
0.00955	1.91E+07	0.298461884	0.298	-1.45	3.5022	4.324	0	0	0.545	0	0	-1	5.70E-15	0	7.24E-01	2.66E-01	1.72E-03	4.65E-04	4.22E-03	-1	9.58E-03	8.395	13.92	12.203	10.499	9.305	7.871	6.558	5.998	5.733
0.00955	1.91E+07	0.300000012	0.3	-1.447	3.5026	4.324	0	0	0.545	0	0	-1	5.72E-15	0	7.24E-01	2.66E-01	1.72E-03	4.65E-04	4.22E-03	-1	9.58E-03	8.387	13.903	12.188	10.486	9.294	7.862	6.551	5.991	5.726
0.00955	1.91E+07	0.315298468	0.315	-1.416	3.5058	4.328	0	0	0.545	0	0	-1	5.96E-15	0	7.24E-01	2.66E-01	1.72E-03	4.65E-04	4.22E-03	-1	9.58E-03	8.31	13.736	12.048	10.358	9.182	7.777	6.482	5.922	5.659
0.00955	1.91E+07	0.350000024	0.35	-1.35	3.5127	4.335	0	0	0.545	0	0	-1	6.53E-15	0	7.24E-01	2.66E-01	1.72E-03	4.65E-04	4.22E-03	-1	9.58E-03	8.145	13.379	11.746	10.085	8.941	7.592	6.333	5.772	5.512
0.00955	1.91E+07	0.359430224	0.36	-1.333	3.5145	4.337	0	0	0.545	0	0	-1	6.68E-15	0	7.24E-01	2.66E-01	1.72E-03	4.65E-04	4.22E-03	-1	9.58E-03	8.104	13.289	11.67	10.016	8.88	7.546	6.296	5.734	5.476
0.00955	1.91E+07	0.400000036	0.4	-1.266	3.5218	4.345	0	0	0.545	0	0	-1	7.34E-15	0	7.24E-01	2.66E-01	1.72E-03	4.65E-04	4.22E-03	-1	9.58E-03	7.934	12.943	11.368	9.743	8.636	7.357	6.143	5.579	5.325
0.00955	1.91E+07	0.450000018	0.45	-1.19	3.53	4.353	0	0	0.545	0	0	-1	8.14E-15	0	7.24E-01	2.66E-01	1.72E-03	4.65E-04	4.22E-03	-1	9.58E-03	7.746	12.561	11.036	9.441	8.365	7.148	5.973	5.407	5.158
0.00955	1.91E+07	0.488975465	0.489	-1.137	3.5363	4.362	0	0	0.545	0	0	-1	8.75E-15	0	7.24E-01	2.66E-01	1.72E-03	4.65E-04	4.22E-03	-1	9.58E-03	7.613	12.294	10.8	9.228	8.172	7.002	5.856	5.287	5.042
0.00955	1.91E+07	0.5	0.5	-1.122	3.538	4.363	0	0	0.545	0	0	-1	8.94E-15	0	7.24E-01	2.66E-01	1.72E-03	4.65E-04	4.22E-03	-1	9.58E-03	7.576	12.221	10.736	9.169	8.119	6.961	5.823	5.253	5.009
0.00955	1.91E+07	0.504540205	0.505	-1.117	3.5388	4.365	0	0	0.545	0	0	-1	8.99E-15	0	7.24E-01	2.66E-01	1.72E-03	4.65E-04	4.22E-03	-1	9.58E-03	7.562	12.19	10.709	9.145	8.098	6.946	5.812	5.241	4.997
0.00955	1.91E+07	0.530492187	0.53	-1.082	3.5432	4.369	0	0	0.545	0	0	-1	9.47E-15	0	7.24E-01	2.66E-01	1.72E-03	4.65E-04	4.22E-03	-1	9.58E-03	7.474	12.011	10.551	9.002	7.969	6.849	5.734	5.162	4.921
0.00955	1.91E+07	0.550000012	0.55	-1.055	3.5462	4.37	0	0	0.545	0	0	-1	9.88E-15	0	7.24E-01	2.66E-01	1.72E-03	4.65E-04	4.22E-03	-1	9.58E-03	7.407	11.89	10.44	8.9	7.875	6.777	5.675	5.101	4.861
0.00955	1.91E+07	0.556067109	0.556	-1.047	3.5474	4.372	0	0	0.545	0	0	-1	9.98E-15	0	7.24E-01	2.66E-01	1.72E-03	4.65E-04	4.22E-03	-1	9.58E-03	7.387	11.849	10.403	8.867	7.846	6.755	5.658	5.083	4.844
0.00955	1.91E+07	0.592270017	0.592	-0.994	3.5545	4.374	0	0	0.545	0	0	-1	1.09E-14	0	7.24E-01	2.66E-01	1.72E-03	4.65E-04	4.22E-03	-1	9.58E-03	7.255	11.592	10.17	8.655	7.654	6.611	5.543	4.964	4.73
0.00955	1.91E+07	0.600000024	0.6	-0.983	3.5559	4.375	0	0	0.545	0	0	-1	1.11E-14	0	7.24E-01	2.66E-01	1.72E-03	4.65E-04	4.22E-03	-1	9.58E-03	7.228	11.54	10.123	8.612	7.615	6.581	5.52	4.94	4.706
0.00955	1.91E+07	0.606784046	0.607	-0.974	3.5574	4.377	0	0	0.545	0	0	-1	1.12E-14	0	7.24E-01	2.66E-01	1.72E-03	4.65E-04	4.22E-03	-1	9.58E-03	7.206	11.495	10.082	8.575	7.582	6.558	5.502	4.921	4.688
0.00955	1.91E+07	0.649999976	0.65	-0.908	3.5674	4.381	0	0	0.545	0	0	-1	1.26E-14	0	7.24E-01	2.66E-01	1.72E-03	4.65E-04	4.22E-03	-1	9.58E-03	7.04	11.181	9.792	8.313	7.343	6.381	5.364	4.776	4.551
